agent,bathrooms,building_area,building_name,building_type,decor,elevator,floor_position,link,livingrooms,orientation,price_per_m2,property,region,rooms,school,section,structure,total_price,year
誉辉地产,2,116.0,合景誉山国际 地图,普通住宅,豪华装修,有,中层,http://esf.gz.fang.com/chushou/3_215548861.htm,2,南北,16250.0,个人产权,增城,3,,永和,,188.5,2012.0
合赢地产,3,282.0,时代南湾 地图,豪宅,毛坯,有,低层,http://esf.gz.fang.com/chushou/3_202238124.htm,2,南北,19858.0,个人产权,南沙,4,,旧镇,平层,560.0,2015.0
扬帆地产,2,86.0,三水御江南 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220677269.htm,2,东南,9884.0,商品房,广州周边,3,,佛山,平层,85.0,2009.0
裕丰地产,1,52.0,和风雅居 (距1号线杨箕站约207米) 地图,普通住宅,精装修,有,高层,http://esf.gz.fang.com/chushou/3_220723405.htm,1,西,90385.0,个人产权,越秀,1, 育才小学 ,杨箕,,470.0,2002.0
正富地产,1,80.0,华天国际广场 (距3号线华师站约478米) 地图,普通住宅,精装修,无,中层,http://esf.gz.fang.com/chushou/3_219212951.htm,2,南,50000.0,个人产权,天河,2,,五山路口,平层,400.0,1995.0
舒怡嘉地产,1,86.0,南国奥园 (距7号线钟村站约824米) 地图,普通住宅,精装修,有,低层,http://esf.gz.fang.com/chushou/3_215950024.htm,1,东北,34651.0,个人产权,番禺,2, 陈涌小学 ,华南,平层,298.0,2006.0
开泰置业,1,90.0,星汇晴轩 (距2号线飞翔公园站约846米) 地图,普通住宅,中装修,有,中层,http://esf.gz.fang.com/chushou/3_220102131.htm,1,南北,39444.0,商品房,白云,3,,机场路,平层,355.0,2005.0
远见地产,2,98.0,华进明苑 (距2号线洛溪站约788米) 地图,普通住宅,精装修,有,低层,http://esf.gz.fang.com/chushou/3_214646778.htm,2,东,31633.0,个人产权,番禺,3,,洛溪,,310.0,2001.0
合富置业,5,564.0,侨建御溪谷别墅 地图,,豪华装修,,低层,http://esf.gz.fang.com/chushou/10_219328099.htm,2,南,21986.0,,增城,8,,中新,,1240.0,2010.0
群鑫地产,2,94.0,飞云楼 (距2号线白云文化广场站约699米) 地图,普通住宅,精装修,无,中层,http://esf.gz.fang.com/chushou/3_216193596.htm,2,暂无,10638.0,个人产权,白云,3, 萧岗小学 ,南湖,平层,100.0,2000.0
誉辉地产,1,68.0,温泉花园 地图,普通住宅,豪华装修,有,中层,http://esf.gz.fang.com/chushou/3_215548622.htm,2,南北,10294.0,个人产权,白云,2,,广花路,,70.0,2004.0
德诚行地产,1,78.0,梅苑小区 (距3号线支线梅花园站约213米) 地图,普通住宅,精装修,无,中层,http://esf.gz.fang.com/chushou/3_214405223.htm,2,南,32051.0,个人产权,白云,3, 京溪小学 ,梅花园,平层,250.0,1998.0
远见地产,1,90.0,锦绣香江紫荆园 (距7号线南村万博站约732米) 地图,,精装修,无,中层,http://esf.gz.fang.com/chushou/3_220723370.htm,2,南北,37778.0,商品房,番禺,2,,华南,,340.0,2003.0
粤地王地产,2,110.0,万虹花园 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220684956.htm,2,南,10909.0,个人产权,花都,3,,狮岭,,120.0,2013.0
康城,1,79.0,白云骏景家园 (距2号线白云文化广场站约813米) 地图,普通住宅,精装修,有,高层,http://esf.gz.fang.com/chushou/3_219510472.htm,2,北,32658.0,个人产权,白云,2, 萧岗小学 ,新市,平层,258.0,2004.0
远见地产,1,86.0,吉祥北园 (距2号线洛溪站约124米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220500795.htm,2,南北,20814.0,个人产权,番禺,3,,洛溪,平层,179.0,1997.0
智富地产,2,126.0,锦绣御景国际 地图,普通住宅,精装修,无,中层,http://esf.gz.fang.com/chushou/3_216280496.htm,2,东,22143.0,商品房,增城,3, 增城实验小学 ,荔城大道南,平层,279.0,2014.0
裕丰地产,2,112.0,锦城花园 (距1号线杨箕站约364米) 地图,普通住宅,精装修,有,高层,http://esf.gz.fang.com/chushou/3_220723401.htm,2,东,96429.0,个人产权,越秀,3, 东风东路小学 ,东风东,,1080.0,2009.0
古格地产,2,89.0,晴海岸 地图,普通住宅,精装修,无,高层,http://esf.gz.fang.com/chushou/3_220227179.htm,2,东南,20787.0,商品房,南沙,3,,旧镇,平层,185.0,2015.0
誉辉地产,2,118.0,保利锦里,,简装修,,低层,http://esf.gz.fang.com/chushou/10_220346504.htm,2,南,10169.0,,东莞,4,,东莞周边,,120.0,
远见地产,2,123.0,星河湾畅心园 地图,普通住宅,中装修,无,低层,http://esf.gz.fang.com/chushou/3_220565321.htm,2,东南,39024.0,商品房,番禺,3,,星河湾社区,平层,480.0,2001.0
华江置业,1,50.0,南油大厦 (距1号线陈家祠站约911米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_218801571.htm,1,东,36000.0,个人产权,越秀,2, 八一希望学校 ,北京路,,180.0,2001.0
领富地产,3,225.0,金碧御水山庄 地图,豪宅,毛坯,有,低层,http://esf.gz.fang.com/chushou/3_216837283.htm,2,南北,7556.0,个人产权,花都,5,,山前大道,平层,170.0,2007.0
喜迎居地产,1,85.0,中颐海伦堡花园 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_218046197.htm,2,暂无,17647.0,个人产权,增城,2,,新塘南,平层,150.0,2008.0
远见地产,2,115.0,锦绣银湾 (距3号线大石站约1116米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220723164.htm,2,南北,37391.0,个人产权,番禺,3, 富丽小学 ,大石,,430.0,2007.0
承润地产,2,143.0,黄埔新福港鼎峰 (距6号线萝岗站约575米) 地图,普通住宅,豪华装修,有,中层,http://esf.gz.fang.com/chushou/3_220679622.htm,2,南北,31469.0,商品房,黄埔,4, 广州市萝岗区香雪小学 ,萝岗,平层,450.0,2016.0
宜家地产,2,124.0,天河星作 地图,普通住宅,豪华装修,有,中层,http://esf.gz.fang.com/chushou/3_220562233.htm,2,南,37097.0,个人产权,天河,4,,东圃,平层,460.0,2017.0
裕丰地产,1,85.0,云山居 (距3号线支线白云大道北站约1125米) 地图,普通住宅,简装修,有,高层,http://esf.gz.fang.com/chushou/3_220707901.htm,2,南北,25294.0,个人产权,白云,2, 永泰小学 ,白云大道北,,215.0,2000.0
粤地王地产,1,90.0,越秀东华楼 (距1号线烈士陵园站约668米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220291691.htm,2,南,21667.0,商品房,越秀,3,,东山,平层,195.0,1995.0
正富地产,2,118.0,希尔顿阳光 (距3号线岗顶站约823米) 地图,普通住宅,精装修,有,高层,http://esf.gz.fang.com/chushou/3_220186558.htm,2,北,61864.0,个人产权,天河,3,,龙口西,平层,730.0,2002.0
粤地王地产,2,88.0,松北橡胶厂宿舍 地图,普通住宅,精装修,有,低层,http://esf.gz.fang.com/chushou/3_220297775.htm,2,南,11023.0,个人产权,白云,3,,罗冲围,,97.0,2003.0
隽杰置业,1,79.9,雅宝新城B区 地图,普通住宅,中装修,无,中层,http://esf.gz.fang.com/chushou/3_213608446.htm,2,东南,15019.0,个人产权,花都,2,,铁路西,平层,120.0,0.0
正丰言地产,2,87.0,荔新大道小区 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220450246.htm,2,东南,5977.0,个人产权,番禺,3,,石碁,平层,52.0,2001.0
融德邦地产,2,136.0,华南碧桂园翠山蓝天苑 (距7号线南村万博站约799米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220256713.htm,2,南,28971.0,商品房,番禺,3,,华南碧桂园社区,平层,394.0,2005.0
置家地产,2,90.0,时代天启 地图,普通住宅,精装修,无,中层,http://esf.gz.fang.com/chushou/3_219315238.htm,2,南,16111.0,商品房,增城,3,,荔城大道北,,145.0,2015.0
裕丰地产,1,76.0,富力悦禧花园 地图,普通住宅,精装修,有,低层,http://esf.gz.fang.com/chushou/3_219989661.htm,2,东北,20395.0,个人产权,黄埔,2,,萝岗,,155.0,2018.0
龙翔地产,1,109.0,珠岛花园 (距6号线河沙站约707米) 地图,,精装修,无,中层,http://esf.gz.fang.com/chushou/3_218245502.htm,1,南,35321.0,商品房,荔湾,3, 河沙小学 ,桥中,,385.0,2016.0
